id,created_at,text
1098419945581498375,2019-02-21 03:11:37,b'06:11 @hopeonair Thika Road begins to slow down after Garden City heading towards Alsops. via @kedemiisme'
1098419568232579073,2019-02-21 03:10:07,b'06:10 Kiambu road jam start at kist via @skull_kariz'
1098417051943739392,2019-02-21 03:00:07,b'06:00 Mombasa Rd airport junction accident! A white car imeingia kwa mtaro !drive carefully via @sinyaga'
1098416925342920704,2019-02-21 02:59:37,"b'05:59 Good morning, Mombasa rd is littered with accidents, 3 car action with one overturned just after airport merg\xe2\x80\xa6 https://t.co/2Zksc5955K'"
1098416548149166080,2019-02-21 02:58:07,"b'05:58 Hello my netizens the road is clear no traffic incidents experienced including the proclaimed traffic jam,guy\xe2\x80\xa6 https://t.co/xcCnUwN0RZ'"
1098416428158468096,2019-02-21 02:57:38,b'05:57 accident along kiambu road of two mats just after Edenvile causing jam via @Stanwakuria'
1098415038401003520,2019-02-21 02:52:07,"b'05:52 kiambu road just past marua stage ,accident traffic building up via @NgigiGerald'"
1098414912060211200,2019-02-21 02:51:37,b'05:51 a head on collision accident has just happened on  kiambu road just after you pass Eden Ville Estate involvin\xe2\x80\xa6 https://t.co/HnsnBKVoDi'
1098413528753541122,2019-02-21 02:46:07,b'05:46 Mombasa Rd ni nywee via @sinyaga'
1098413024820502528,2019-02-21 02:44:07,b'05:44 @ThikaTowntoday Just thank God and go your way.kenya is like  remember what happened on 15th January at Dusit\xe2\x80\xa6 https://t.co/zhcxtacpRh'
1098333249175195648,2019-02-20 21:27:07,"b'00:27 nbo cbd: if you are a mayai boilo/smookie person,you might not enjoy today coz kanjo has arrested many. via @WambuguKanyi'"
1098311103237496834,2019-02-20 19:59:07,b'22:59 @KenyaPower_Care    no electricity at kimbo ruiru from 9.30pm...whatsup? via @naomi_kimuri'
1098303930734444553,2019-02-20 19:30:37,"b'22:30 Konyagi ""brand ambassadors"" from TZ na hawaringi. This is what we call humbleness. Kenyan slays be like,""mimi\xe2\x80\xa6 https://t.co/vsa6GlqKWV'"
1098303050257715202,2019-02-20 19:27:07,"b""22:27 @james_maina22 @salimsduke your car was towed from Bellevue to Central ! How now ? aren't there any other pol\xe2\x80\xa6 https://t.co/UxBQVAf1rz"""
1098300785119637506,2019-02-20 19:18:07,"b'22:18 if eacc officers are keen to arrest rogue police officers at donholm/manyanja overpass, they should arrest tw\xe2\x80\xa6 https://t.co/Nr3NGMCDCg'"
1098300030123937793,2019-02-20 19:15:07,b'22:15 a trailer has broke down at emali SGR bridge unless its removed now expect the worst with this Nairobi Mombas\xe2\x80\xa6 https://t.co/0xbr5ecXY3'
1098298898215591936,2019-02-20 19:10:37,b'22:10 Who else is tired of some old military helicopter flying over thika road at night making too loud noise?\xe2\x80\xa6 https://t.co/W64ByvAtv9'
1098296129471565825,2019-02-20 18:59:37,b'21:59 @james_maina22 Last year i Had a similar incidence at kasarani police station..they did not only tow my car b\xe2\x80\xa6 https://t.co/LLITavvV6Q'
1098292354950352897,2019-02-20 18:44:37,b'21:44 Tafadhali hapa outering road pale fedha watu wajengewe flyover. Na stage ya matatu.. From rounda tajmall to d\xe2\x80\xa6 https://t.co/Y9SSVikaQ9'
1098286188987858944,2019-02-20 18:20:07,b'21:20 at last jam us waiyaki way kutoka Tao imekwisha mchina amefungua barabara via @davidwahwai'
1098281281945780224,2019-02-20 18:00:37,"b""21:00 Tomorrow's weather in Nairobi: Isolated Thunderstorms with a high of 26\xc2\xb0C and a low of 15\xc2\xb0C. #PlanWell &amp; have\xe2\x80\xa6 https://t.co/BC7U0j8URI"""
1098277003315347456,2019-02-20 17:43:37,b'20:43 @jmungai70   @MikeSonko Not to be above law my question was the one on the highway how do city Askari pull yo\xe2\x80\xa6 https://t.co/7mThfJWneT'
1098274613312790530,2019-02-20 17:34:07,b'20:34 @NPSOfficial_KE could you kindly move the two matatu Saccos that pick passengers at the Junction of Donholm R\xe2\x80\xa6 https://t.co/H08xHIB3LW'
1098266811768979457,2019-02-20 17:03:07,"b'20:03 I lost a bunch of Mul-T-lock keys, inside the Matatu plying the Langata route     kindly assist if you see them. via @kibtich'"
1098266685419778056,2019-02-20 17:02:37,b'20:02 The Syokimau-Devki extorition gang is back. Non-functional brake light (charge is failure to maintain motor v\xe2\x80\xa6 https://t.co/8KACO2NDHj'
1098266182438797317,2019-02-20 17:00:37,"b'20:00 @KenyaPower_Care @MikeSonko And can I add Rapture road Westlands, oloitoktok road near Makueni road turn off\xe2\x80\xa6 https://t.co/eVn0znrtBt'"
1098264672581619713,2019-02-20 16:54:37,b'19:54 My Uber driver was pulled over on Westlands roundabout by this policewoman. Said her name was Faith. She said\xe2\x80\xa6 https://t.co/0HZjARtTOw'
1098264420839505920,2019-02-20 16:53:37,b'19:53 @NairobiWater alot of water spilling at Rusinga school Gitanga rd all the way to Kawangware via @josephkamau2019'
1098259639064510464,2019-02-20 16:34:37,b'19:34 @KenyaPower_Care no lights in Kahawa West Nairobi since 3pm! Any way you can help?  @ntvkenya via @MariosMugambi'
1098258507873378305,2019-02-20 16:30:07,"b'19:30 #GKB092M The driver of this GK drove at high speed in thika road with flat left tire, i slowed down at drivei\xe2\x80\xa6 https://t.co/UdpsAa0SsS'"
1098253851302522885,2019-02-20 16:11:37,b'19:11 This vehicle (KBR 661C) was on 30th Jan in Thika outside the Safaricom Shop but has today been recovered in B\xe2\x80\xa6 https://t.co/S7lU0AiXId'
1098251460964483072,2019-02-20 16:02:07,b'19:02 #KCK723M KCK 723M on Webuye-Kitale road has no speed governor. @Matatu_Culture@NPSOfficial_KE  https://t.co/PVBta1tnxH via @AYUBSA'
1098251083074469894,2019-02-20 16:00:37,"b'19:00 @Josephboinet @FredMatiangi From the records from the @ntsa_kenya portal, KPH 664 has no inspection sticker.\xe2\x80\xa6 https://t.co/PC9sTjRoBq'"
1098248314334703622,2019-02-20 15:49:37,b'18:49 In some routes Matatus have stickes showing their registration nunmbers. I just wonder how Ngong residents su\xe2\x80\xa6 https://t.co/a8qWlthHZl'
1098245672397099010,2019-02-20 15:39:07,b'18:39 Apa Uhuru highway kwa Rounda ya Haile Selassie is a thick mess of confusion n gridlock     @PRSA_Roadsafety via @Flipthedj'
1098245294574194689,2019-02-20 15:37:37,b'18:37 Jam on outering headed tajmall caused  by the ongoing expansion to a 3 lane highway.  https://t.co/B5xfcuW2Ru via @itsmuthama'
